Source;Lyrics File;Song ID;Song Title;File Path;IsMatch;Artist;Album;Score;Status;Has Variants;Variant Rank
qmusic;028 - RiverRat! чокъ сагъол акъай.;RPf3u5J573DRwGMut1A1SR;Dilâver Osmanov-Salaçıq;scripts/lyrics_qmusic/028 - RiverRat! чокъ сагъол акъай..txt;N;Dilâver Osmanov;Dilâver Osmanov;0.45;LOW;NO;
qmusic;048 - Sana dargın değilim gidişlerin bir anlık öfke;Nm4OqL0umipUBn2gvLoiyO;Reyana Kadırova-Ne işlerin var idi (Live);scripts/lyrics_qmusic/048 - Sana dargın değilim gidişlerin bir anlık öfke.txt;N;Reyana Kadırova;Reyana Kadırova;0.44;LOW;NO;
qmusic;051 - Bu da bir manalı yır (qaraçayca);c2135uqC9s9mC7zXRwxwB3;Dilâver Osmanov-Qınalı parmaqlarıñ;scripts/lyrics_qmusic/051 - Bu da bir manalı yır (qaraçayca).txt;N;Dilâver Osmanov;Dilâver Osmanov;0.45;LOW;NO;
qmusic;005 - Азиз анам, нелер япып;Bs1Fal8EoUKn3DegEjt7NZ;DJ Azzy-Yan-yana (Electro House);scripts/lyrics_qmusic/005 - Азиз анам, нелер япып.txt;N;DJ Azzy;DJ Azzy;0.49;LOW;NO;
qmusic;024 - Сайгъылы Достлар.. Быр де Ногъай Бейитлерин сёзлерини язсаныз... Сагъолунъыз;cIwq1ntM3om8fXJRRDlpuL;Halq Çalğı Aletleriniñ Ansambli-Navrez avası;scripts/lyrics_qmusic/024 - Сайгъылы Достлар.. Быр де Ногъай Бейитлерин сёзлерини язсаныз... Сагъолунъыз.txt;N;Diger;Diger;0.41;LOW;NO;
qmusic;004 - От Барабашки;LTBo5E4rmcq4dpWnnI0hv3;Taraf-Rumba;scripts/lyrics_qmusic/004 - От Барабашки.txt;N;Taraf;Taraf;0.46;LOW;YES;1/2
qmusic;003 - От Барабашки;LTBo5E4rmcq4dpWnnI0hv3;Taraf-Rumba;scripts/lyrics_qmusic/003 - От Барабашки.txt;N;Taraf;Taraf;0.46;LOW;YES;2/2
qmusic;032 - Dünyada her şeşek maalinde açar;Ppc7g01qkQvSM55d3K5WeQ;Nariman Baliç-Nesil haytarması;scripts/lyrics_qmusic/032 - Dünyada her şeşek maalinde açar.txt;N;Nariman Baliç;Nariman Baliç;0.44;LOW;NO;
qmusic;033 - Баллар кене селям алейкум... мына;xdjcPQHqydCAaFdaw0KzHG;Yalçın Faik-Mına selâm aleyküm;scripts/lyrics_qmusic/033 - Баллар кене селям алейкум... мына.txt;N;Yalçın Faik;Yalçın Faik;0.59;LOW;NO;
qmusic;047 - Bağdad kibi şeer yohtur;o7kcquYFNZ3wapQ6kZwoVk;Adam İsmail-Tierro Noura;scripts/lyrics_qmusic/047 - Bağdad kibi şeer yohtur.txt;N;Adam İsmail;Adam İsmail;0.48;LOW;NO;
qmusic;036 - Men pıçağım qayırdım, qorazım soydım, alay;6nt2ZnqFOiIIwprAVb8Csv;Raya Levi (Qırımçaq)-Bir horazım bar edi (halq icrası);scripts/lyrics_qmusic/036 - Men pıçağım qayırdım, qorazım soydım, alay.txt;N;Halq icrası;Halq icrası;0.41;LOW;NO;
qmusic;001 - Здесь будем выкладывать тексты песен.;G9kUVbXYFXabr6ODUVPzWQ;Edem Polâkov-Atım terlendi;scripts/lyrics_qmusic/001 - Здесь будем выкладывать тексты песен..txt;N;Edem Polâkov;Edem Polâkov;0.48;LOW;NO;
