Source,Lyrics File,Song ID,Song Title,Artist,Album,Score,Status,Has Variants,Variant Rank,File Path
crh_lt,Bekir Çoban-Zade - Qarı Ana,VZwONLFilH9ugS4zMkDxjJ,Bekir Adilov-Sevimli anam,Bekir Adilov,Bekir Adilov,0.54,LOW,YES,2/2,scripts/lyrics_crh_lt/Bekir Çoban-Zade - Qarı Ana.txt
crh_lt,Crimean Tatar Folk - Seyt Osman Saray Saldırğan,HsiU8dF69bjScSJ3hcCNr0,Yırlağan Til-Seyt-Osman saray saldırğan,Yırlağan Til,Yırlağan Til,0.73,MEDIUM,NO,,scripts/lyrics_crh_lt/Crimean Tatar Folk - Seyt Osman Saray Saldırğan.txt
crh_lt,Asiye Saale - Usul-usul,oq0xf3pvu4R8vXRh26UDkD,Asiye Saale-Usul-usul,Asiye Saale,Asiye Saale,1.07,HIGH,NO,,scripts/lyrics_crh_lt/Asiye Saale - Usul-usul.txt
crh_lt,Afize Kassara - Ay oğlan tatarmısıñ,adJjnYT4a8gk2pnYgjKwH9,"Afize Kassara-Ay, oğlan, tatarmısıñ",Afize Kassara,Afize Kassara,1.02,HIGH,NO,,scripts/lyrics_crh_lt/Afize Kassara - Ay oğlan tatarmısıñ.txt
crh_lt,Leniye İzmaylova - Padişa qızları,PbJf9TKjIXhx9MeKc3zY6Y,Leniye İzmaylova ve Güzel-Padişa qızları,Leniye İzmaylova,Leniye İzmaylova,0.96,HIGH,NO,,scripts/lyrics_crh_lt/Leniye İzmaylova - Padişa qızları.txt
crh_lt,Aliye Civan - Yeşil yapraq,J9btH9TLeaL5SnxszlNIYB,Aliye Civan-Yeşil yapraq,Aliye Civan,Aliye Civan,1.04,HIGH,NO,,scripts/lyrics_crh_lt/Aliye Civan - Yeşil yapraq.txt
crh_lt,Jamala - DAĞLARNIÑ YOLLARI,Xuftay5Un77Fftns4Upgsu,Jamala & DakhaBrakha-Заманили,Jamala,Jamala,0.70,MEDIUM,YES,1/2,scripts/lyrics_crh_lt/Jamala - DAĞLARNIÑ YOLLARI.txt
crh_lt,Jamala - ARAFAT DAĞINDAN,Xuftay5Un77Fftns4Upgsu,Jamala & DakhaBrakha-Заманили,Jamala,Jamala,0.68,MEDIUM,YES,2/2,scripts/lyrics_crh_lt/Jamala - ARAFAT DAĞINDAN.txt
crh_lt,Afize Yusuf-Qızı - Qarasuvnıñ dört köşesi,SiAKYmifvtP70sfX2r2jkX,Afize Yusuf-qızı-Qarasuvnıñ dört köşesi,Afize Yusuf-qızı,Afize Yusuf-qızı,0.98,HIGH,NO,,scripts/lyrics_crh_lt/Afize Yusuf-Qızı - Qarasuvnıñ dört köşesi.txt
crh_lt,Emine Mustafayeva - Малелер(Хайдым дерелерине),3SM2dxjJN82ioufgOdslKK,Emine Mustafayeva-Kelmeseñ de,Emine Mustafayeva,Emine Mustafayeva,0.76,MEDIUM,NO,,scripts/lyrics_crh_lt/Emine Mustafayeva - Малелер(Хайдым дерелерине).txt
crh_lt,Sabriye Erecepova - Sevdim seni,RwaLdg29TKSDMTUqL67TXF,Sabriye Erecepova-Sevdim seni,Sabriye Erecepova,Sabriye Erecepova,1.08,HIGH,NO,,scripts/lyrics_crh_lt/Sabriye Erecepova - Sevdim seni.txt
crh_lt,Emine Mustafayeva - Vatan yırı,YOT6RJyDGkZdqxP4g2orYT,Emine Mustafayeva-Vatan yırı,Emine Mustafayeva,Emine Mustafayeva,1.08,HIGH,YES,1/2,scripts/lyrics_crh_lt/Emine Mustafayeva - Vatan yırı.txt
crh_lt,Emine Mustafayeva - Тавгъа бардым,YOT6RJyDGkZdqxP4g2orYT,Emine Mustafayeva-Vatan yırı,Emine Mustafayeva,Emine Mustafayeva,0.87,HIGH,YES,2/2,scripts/lyrics_crh_lt/Emine Mustafayeva - Тавгъа бардым.txt
crh_lt,Halisa Ablayeva - Adalar sailinde,iFwOT2Ak6rjEp8ioCK1GBq,Halisa Ablayeva-Adalar sailinde,Halisa Ablayeva,Halisa Ablayeva,1.08,HIGH,NO,,scripts/lyrics_crh_lt/Halisa Ablayeva - Adalar sailinde.txt
crh_lt,"Zore Kadıyeva - Ah, kelinim",M48KJvVJrDl5GmpJmBdbqK,"Zore Kadıyeva-Ah, kelinim",Zore Kadıyeva,Zore Kadıyeva,1.08,HIGH,NO,,"scripts/lyrics_crh_lt/Zore Kadıyeva - Ah, kelinim.txt"
crh_lt,Asan Hayretdinov - Seni kördim (Сени корьдим),KYxsGkE54Qlgt6CzhbXT6A,Asan Hayretdinov-Seni kördim,Asan Hayretdinov,Asan Hayretdinov,0.91,HIGH,NO,,scripts/lyrics_crh_lt/Asan Hayretdinov - Seni kördim (Сени корьдим).txt
